SUBTAB,PERMISSION NAME,USAGE DESCRIPTION,MINIMUM SELECTABLE LEVEL,MINIMUM SYSTEM LEVEL,Column1
Lists,Amortization Schedules,Allows usage of the Update Is Recognized Flag bulk operation.,Edit,,
Lists,Amortization Schedules,Allows viewing and editing of the Amortization Schedule record.,View,,
Lists,Amortization Schedules,Allows viewing and editing of the Amortization Template record.,View,,
Lists,Amortization Schedules,Allows viewing and editing of the Create Amortization Journal Entries record.,View,,
Lists,Amortization Schedules,Allows viewing and editing of the Update Amortization record.,View,,
Lists,Automated Clearing House,Allows viewing and editing of the Automated Clearing House record.,View,,
Lists,Bank Account Registers,Allows usage of the Bank Balance snapshot.,View,,
Lists,Bank Account Registers,Allows usage of the Bank Register report definition.,View,,
Lists,Bank Account Registers,Allows usage of the Bank Register task.,View,,
Lists,Bank Account Registers,Allows usage of the Bank Register task.,Create,,
Lists,Bank Account Registers,Allows viewing of the Bank Register report.,View,,
Lists,Bill Inbound Shipment,Allows usage of the Bill Inbound Shipment task.,View,,
Lists,Bill Of Distribution,Allows usage of the Bill Of Distribution search.,View,,
Lists,Bill Of Distribution,Allows usage of the Bill Of Distribution task.,View,,
Lists,Bill Of Distribution,Allows usage of the New Bill Of Distribution task.,View,,
Lists,Bill Of Distribution,Allows usage of the Search Bill Of Distribution task.,View,,
Lists,Bill Of Distribution,Allows viewing and editing of the Bill Of Distribution record.,View,,
Lists,Bill Of Materials Inquiry,Allows usage of the Bill of Materials Inquiry task.,View,,
Lists,Bill Of Materials Inquiry,Allows viewing and editing of the Bill of Materials Inquiry record.,View,,
Lists,Bill of Materials,Allows usage of the Assembly Item Bill of Materials search.,View,,
Lists,Bill of Materials,Allows usage of the New Bill of Materials Revision task.,View,,
Lists,Bill of Materials,Allows usage of the New Bill of Materials task.,View,,
Lists,Bill of Materials,Allows usage of the Search Bill of Materials Revisions task.,View,,
Lists,Bill of Materials,Allows usage of the Search Bills of Materials task.,View,,
Lists,Bill of Materials,Allows usage of the Bill of Materials Revision Component search.,View,,
Lists,Bill of Materials,Allows usage of the Bill of Materials Revision search.,View,,
Lists,Bill of Materials,Allows usage of the Bill of Materials search.,View,,
Lists,Bill of Materials,Allows usage of the Bill of Materials task.,View,,
Lists,Bill of Materials,Allows viewing and editing of the Bill of Materials Revision Component record.,View,,
Lists,Bill of Materials,Allows viewing and editing of the Bill of Materials Revision record.,View,,
Lists,Bill of Materials,Allows viewing and editing of the Bill of Materials record.,View,,
Lists,Billing Schedules,Allows usage of the Billing Milestone search.,View,,
Lists,Billing Schedules,Allows usage of the Billing Schedule search.,View,,
Lists,Billing Schedules,Allows usage of the Billing Schedules task.,View,,
Lists,Billing Schedules,Allows usage of the New Billing Schedule task.,Create,,
Lists,Billing Schedules,Allows usage of the Search Billing Schedule task.,View,,
Lists,Billing Schedules,Allows viewing and editing of the Billing Schedule record.,View,,
Lists,Bins,Allows usage of the Bins search.,View,,
Lists,Bins,Allows usage of the Bins task.,View,,
Lists,Bins,Allows usage of the Search Bin task.,View,,
Lists,Bulk Porcessing Submission,Allows usage of the bulk processing tasks.,View,,
Lists,Bulk Processing Submissions,Allows usage of the Bulk Processing Errors search.,View,,
Lists,Bulk Processing Submissions,Allows usage of the Bulk Processing Submission search.,View,,
Lists,Calendar,Allows usage of the Calendar portlet.,View,,
Lists,Calendar,Allows usage of the Calendar Preference task.,View,,
Lists,Calendar,Allows usage of the Calendar Preferences task.,View,,
Lists,Calendar,Allows usage of the Calendar task.,View,,
Lists,Calendar,Allows usage of the Scheduler portlet.,View,,
Lists,Calendar,Allows usage of the Search Calendar/Event task.,View,,
Lists,Campaign History,Allows usage of the Campaign Response search.,View,,
Lists,Campaign History,Allows usage of the Response Count search.,View,,
Lists,Campaign History,Allows viewing and editing of the Campaign Response record.,View,,
Lists,Cases,Allows usage of Case record.,View,,
Lists,Cases,Allows usage of the Case bulk operation.,Full,,
Lists,Cases,Allows usage of the Case reminder.,View,,
Lists,Cases,Allows usage of the Case search.,View,,
Lists,Cases,Allows usage of the Cases Closed snapshot.,View,,
Lists,Cases,Allows usage of the Cases task.,View,,
Lists,Cases,Allows usage of the Change Case Priority bulk operation.,Edit,,
Lists,Cases,Allows usage of the Change Case Status bulk operation.,Edit,,
Lists,Cases,Allows usage of the Change Support Rep Assignment bulk operation.,Edit,,
Lists,Cases,Allows usage of the Customer Support and Service bulk operation.,Edit,,
Lists,Cases,Allows usage of the Delete Cases bulk operation.,Full,,
Lists,Cases,Allows usage of the Escalate Cases bulk operation.,Edit,,
Lists,Cases,Allows usage of the Inactivate Cases bulk operation.,Full,,
Lists,Cases,Allows usage of the New Cases snapshot.,View,,
Lists,Cases,Allows usage of the New Cases task.,View,,
Lists,Cases,Allows usage of the Open Cases snapshot.,View,,
Lists,Cases,Allows usage of the Reassign Cases by Case Territory Rules bulk operation.,Edit,,
Lists,Cases,Allows usage of the Search Case task.,View,,
Lists,Cases,Allows viewing and editing of the Case record.,View,,
Lists,Certificate access,Allows usage of the Certificates task.,View,,
Lists,Check Item Availability,Allows usage of the Check Item Availability task.,View,,
Lists,Check Item Availability,Allows viewing and editing of the Check Item Availability record.,View,,
Lists,Classes,Allows usage of the Class search.,View,,
Lists,Classes,Allows usage of the Classes task.,View,,
Lists,Classes,Allows usage of the New Class task.,View,,
Lists,Classes,Allows usage of the Search Class task.,View,,
Lists,Classes,Allows viewing and editing of the Class record.,View,,
Lists,Color Themes,Allows usage of the Color Themes task.,View,,
Lists,Color Themes,Allows usage of the New Color Theme task.,View,,
Lists,Commit Orders,Allows usage of the Commit Order Schedule search.,View,,
Lists,Commit Orders,Allows usage of the Commit Orders Job Status task.,Full,,
Lists,Commit Orders,Allows usage of the Commit Orders task.,Full,,
Lists,Commit Orders,Allows usage of the Create Schedule Commit Order Task.,Full,,
Lists,Commit Orders,Allows usage of the Schedule task.,Edit,,
Lists,Commit Orders,Allows viewing and editing of the Commit Orders record.,View,,
Lists,Companies,Allows usage of Company record.,View,,
Lists,Companies,Allows usage of the Author field in Transaction Numbering Audit Log search.,View,,
Lists,Companies,Allows usage of the Company bulk operation.,Full,,
Lists,Companies,Allows usage of the Company field in Activity search.,View,,
Lists,Companies,Allows usage of the Company field in Event search.,View,,
Lists,Companies,Allows usage of the Company field in Phone Call search.,View,,
Lists,Companies,Allows usage of the Company field in Task search.,View,,
Lists,Companies,Allows usage of the Company search.,View,,
Lists,Companies,Allows usage of the Deleted By field in Transaction Numbering Audit Log search.,View,,
Lists,Companies,Allows usage of the Inactivate Companies bulk operation.,Full,,
Lists,Companies,Allows usage of the Modified By field in Custom GL Lines Plug-in Revisions search.,View,,
Lists,Companies,Allows usage of the Search All Companies task.,View,,
Lists,Competitors,Allows usage of the Competitor search.,View,,
Lists,Competitors,Allows usage of the Competitor task.,View,,
Lists,Competitors,Allows usage of the Competitors task.,View,,
Lists,Competitors,Allows usage of the Search Competitors task.,View,,
Lists,Competitors,Allows viewing and editing of the Competitor record.,View,,
Lists,Component Where Used,Allows usage of the Component Where Used Inquiry task.,View,,
Lists,Component Where Used,Allows viewing and editing of the Component Where Used Inquiry record.,View,,
Lists,Contact Roles,Allows adding Contact Roles to Type filter OF CRM Lists.,View,,
Lists,Contact Roles,Allows creating a new Contact Role.,Create,,
Lists,Contact Roles,Allows displaying Contact Role link in CRM List Setup page.,View,,
Lists,Contact Roles,Allows displaying Contact Roles in CRM Lists.,View,,
Lists,Contacts,Allows usage of Contact record.,View,,
Lists,Contacts,Allows usage of the Add Contact Category bulk operation.,Full,,
Lists,Contacts,Allows usage of the Change Owner bulk operation.,Full,,
Lists,Contacts,Allows usage of the Contact bulk operation.,Full,,
Lists,Contacts,Allows usage of the Contact field in Event search.,View,,
Lists,Contacts,Allows usage of the Contact field in Phone Call search.,View,,
Lists,Contacts,Allows usage of the Contact field in Project Task search.,View,,
Lists,Contacts,Allows usage of the Contact field in Task search.,View,,
Lists,Contacts,Allows usage of the Contact search.,View,,
Lists,Contacts,Allows usage of the Contacts task.,View,,
Lists,Contacts,Allows usage of the Inactivate Contacts bulk operation.,Full,,
Lists,Contacts,Allows usage of the New Contacts task.,View,,
Lists,Contacts,Allows usage of the Reformat Contacts Using First Name First bulk operation.,Edit,,
Lists,Contacts,Allows usage of the Reformat Contacts Using Last Name First bulk operation.,Edit,,
Lists,Contacts,Allows usage of the Search Contact task.,View,,
Lists,Contacts,Allows usage of the Send Subscription Message to Contacts bulk operation.,Full,,
Lists,Contacts,Allows viewing and editing of the Contact record.,View,,
Lists,Cost of Goods Sold Registers,Allows usage of the COGS Register task.,Create,,
Lists,Costed Bill Of Materials Inquiry,Allows usage of the Costed Bill of Materials Inquiry task.,View,,
Lists,Costed Bill Of Materials Inquiry,Allows viewing and editing of the Costed Bill of Materials Inquiry record.,View,,
Lists,Credit Card Registers,Allows usage of the Credit Card Balance snapshot.,View,,
Lists,Credit Card Registers,Allows usage of the Credit Card Register task.,Create,,
Lists,CRM Groups,Allows usage of Group record.,View,,
Lists,CRM Groups,Allows usage of the Billing Groups task.,View,,
Lists,CRM Groups,Allows usage of the Group Contacts bulk operation.,Full,,
Lists,CRM Groups,Allows usage of the Group Customers bulk operation.,Full,,
Lists,CRM Groups,Allows usage of the Group Employees bulk operation.,Full,,
Lists,CRM Groups,Allows usage of the Group Partners bulk operation.,Full,,
Lists,CRM Groups,Allows usage of the Group Records bulk operation.,Full,,
Lists,CRM Groups,Allows usage of the Group search.,View,,
Lists,CRM Groups,Allows usage of the Group Vendors bulk operation.,Full,,
Lists,CRM Groups,Allows usage of the Groups task.,View,,
Lists,CRM Groups,Allows usage of the New Groups task.,View,,
Lists,CRM Groups,Allows usage of the New Sales Teams task.,View,,
Lists,CRM Groups,Allows usage of the Sales Teams task.,View,,
Lists,CRM Groups,Allows usage of the Search Group task.,View,,
Lists,CRM Groups,Allows viewing and editing of the Entity Group record.,View,,
Lists,Currency,Allows usage of the Consolidated Exchange Rates search.,View,,
Lists,Currency,Allows usage of the Consolidated Exchange Rates task.,View,,
Lists,Currency,Allows usage of the Currencies task.,View,,
Lists,Currency,Allows usage of the Currency Exchange Rates task.,View,,
Lists,Currency,Allows usage of the Currency search.,View,,
Lists,Currency,Allows usage of the CurrencyRate search.,View,,
Lists,Currency,Allows usage of the New Currencies task.,View,,
Lists,Currency,Allows usage of the New Currency Exchange Rate task.,View,,
Lists,Currency,Allows usage of the Search Consolidated Rates task.,View,,
Lists,Currency,Allows viewing and editing of the Calculate Consolidated Exchange Rates record.,View,,
Lists,Currency,Allows viewing and editing of the Consolidated Exchange Rate record.,View,,
Lists,Currency,Allows viewing and editing of the Currency Rate record.,View,,
Lists,Currency,Allows viewing and editing of the Currency record.,View,,
Lists,Custom GL Lines Plug-in Audit Log,Allows usage of the Custom GL Audit Log Line search.,View,,
Lists,Custom GL Lines Plug-in Audit Log,Allows usage of the Custom GL Lines Plug-in Audit Log search.,View,,
Lists,Custom GL Lines Plug-in Audit Log,Allows usage of the Custom GL Lines Plug-in Revisions search.,View,,
Lists,Custom GL Lines Plug-in Audit Log,Allows usage of the Search Custom GL Lines Plug-in Audit Log task.,View,,
Lists,Custom GL Lines Plug-in Audit Log (Segments),Allows usage of the Custom GL Audit Log Line Segments search.,View,,
Lists,Custom Recognition Event Type,Allows usage of the Custom Recognition Event Type search.,View,,
Lists,Custom Recognition Event Type,Allows usage of the Custom Recognition Event Types task.,View,,
Lists,Custom Recognition Event Type,Allows usage of the New Custom Recognition Event Type task.,View,,
Lists,Custom Recognition Event Type,Allows usage of the Search Custom Recognition Event Type task.,View,,
Lists,Custom Recognition Event Type,Allows viewing and editing of the Custom Recognition Event Type record.,View,,
Lists,Custom Record Entries,Allows usage of Custom Record record.,View,,
Lists,Custom Record Entries,Allows usage of the Custom search.,View,,
Lists,Custom Record Entries,Allows viewing and editing of the Custom Record record.,View,,
Lists,Customer Profile,Allows usage of the Customer Profile task.,Create,,
Lists,Customers,Allows usage of Customer record.,View,,
Lists,Customers,Allows usage of Customer/Job record.,View,,
Lists,Customers,Allows usage of Job record.,View,,
Lists,Customers,Allows usage of Lead record.,View,,
Lists,Customers,Allows usage of Prospect record.,View,,
Lists,Customers,Allows usage of the Add Partner bulk operation.,Edit,,
Lists,Customers,Allows usage of the Add Sales Team Member bulk operation.,Edit,,
Lists,Customers,Allows usage of the Billing Account Billing Schedule search.,View,,
Lists,Customers,Allows usage of the Billing Account Bill Request search.,View,,
Lists,Customers,Allows usage of the Billing Account search.,View,,
Lists,Customers,Allows usage of the Billing Accounts task.,View,,
Lists,Customers,Allows usage of the Bounced Email Addresses task.,View,,
Lists,Customers,Allows usage of the Change Customer Status bulk operation.,Edit,,
Lists,Customers,Allows usage of the Change Sales Rep Assignment bulk operation.,Edit,,
Lists,Customers,Allows usage of the Change Territory Assignment bulk operation.,Edit,,
Lists,Customers,Allows usage of the Contact Management bulk operation.,Edit,,
Lists,Customers,Allows usage of the Convert Jobs to Subcustomers bulk operation.,Edit,,
Lists,Customers,Allows usage of the Create Billing Accounts task.,Create,,
Lists,Customers,Allows usage of the Customer Currency Balance search.,View,,
Lists,Customers,Allows usage of the Customer Web Site Assignment bulk operation.,Edit,,
Lists,Customers,Allows usage of the Customer bulk operation.,Full,,
Lists,Customers,Allows usage of the Customer reminder.,View,,
Lists,Customers,Allows usage of the Customer search.,View,,
Lists,Customers,Allows usage of the Customer-Subsidiary Relationship search.,View,,
Lists,Customers,Allows usage of the Customer/Project search.,View,,
Lists,Customers,Allows usage of the Customers by Open A/R Balance task.,View,,
Lists,Customers,Allows usage of the Customers by Outstanding Balance task.,View,,
Lists,Customers,Allows usage of the Customers by Unbilled Orders task.,View,,
Lists,Customers,Allows usage of the Customers task.,View,,
Lists,Customers,Allows usage of the Delete Customers bulk operation.,Full,,
Lists,Customers,Allows usage of the Inactivate Customers bulk operation.,Full,,
Lists,Customers,Allows usage of the Job bulk operation.,Full,,
Lists,Customers,Allows usage of the Lead search.,View,,
Lists,Customers,Allows usage of the Leads task.,View,,
Lists,Customers,Allows usage of the New Customers task.,View,,
Lists,Customers,Allows usage of the New Leads task.,View,,
Lists,Customers,Allows usage of the New Prospects task.,View,,
Lists,Customers,Allows usage of the Open Jobs snapshot.,View,,
Lists,Customers,Allows usage of the Overdue Job reminder.,View,,
Lists,Customers,Allows usage of the Prospects task.,View,,
Lists,Customers,Allows usage of the Reassign Customers by Sales Territory Rules bulk operation.,Edit,,
Lists,Customers,Allows usage of the Reformat Customers Using First Name First bulk operation.,Edit,,
Lists,Customers,Allows usage of the Reformat Customers Using Last Name First bulk operation.,Edit,,
Lists,Customers,Allows usage of the Remove Partner bulk operation.,Edit,,
Lists,Customers,Allows usage of the Remove Sales Team Member bulk operation.,Edit,,
Lists,Customers,Allows usage of the Replace Partner bulk operation.,Edit,,
Lists,Customers,Allows usage of the Replace Sales Team Member bulk operation.,Edit,,
Lists,Customers,Allows usage of the Sales Force Automation bulk operation.,Edit,,
Lists,Customers,Allows usage of the Search Billing Account task.,View,,
Lists,Customers,Allows usage of the Search Customer task.,View,,
Lists,Customers,Allows usage of the Search Customer-Subsidiary Relationship task.,View,,
Lists,Customers,Allows usage of the Search Leads task.,View,,
Lists,Customers,Allows usage of the Search Prospects task.,View,,
Lists,Customers,Allows usage of the Send Subscription Message to Customers bulk operation.,Full,,
Lists,Customers,Allows usage of the Update Customer Web Site Assignment bulk operation.,Edit,,
Lists,Customers,Allows viewing and editing of the Billing Account record.,View,,
Lists,Customers,Allows viewing and editing of the Customer record.,View,,
Lists,Customers,Allows viewing and editing of the Customer-Subsidiary relationship record.,View,,
Lists,Customers,Allows viewing and editing of the Customers and Contacts Together record.,View,,
Lists,Customers,Allows viewing and editing of the Lead record.,View,,
Lists,Customers,Allows viewing and editing of the Leads and Contacts Together record.,View,,
Lists,Customers,Allows viewing and editing of the Originating Lead record.,View,,
Lists,Customers,Allows viewing and editing of the Prospect record.,View,,
Lists,Customers,Allows viewing and editing of the Prospects and Contacts Together record.,View,,
Lists,Deferred Expense Registers,Allows usage of the Deferred Expense Register task.,Create,,
Lists,Deferred Revenue Registers,Allows usage of the Deferred Revenue Register task.,Create,,
Lists,Departments,Allows usage of the Department search.,View,,
Lists,Departments,Allows usage of the Departments task.,View,,
Lists,Departments,Allows usage of the New Departments task.,View,,
Lists,Departments,Allows usage of the Search Department task.,View,,
Lists,Departments,Allows viewing and editing of the Department record.,View,,
Lists,Distribution Network,Allows usage of the Distribution Network search.,View,,
Lists,Distribution Network,Allows usage of the Distribution Network task.,View,,
Lists,Distribution Network,Allows usage of the New Distribution Network task.,View,,
Lists,Distribution Network,Allows usage of the Search Distribution Network task.,View,,
Lists,Distribution Network,Allows viewing and editing of the Distribution Network record.,View,,
Lists,Documents and Files,Allows usage of the Delete Files bulk operation.,Full,,
Lists,Documents and Files,Allows usage of the Document search.,View,,
Lists,Documents and Files,Allows usage of the File Cabinet task.,View,,
Lists,Documents and Files,Allows usage of the Files bulk operation.,Edit,,
Lists,Documents and Files,Allows usage of the Folder search.,View,,
Lists,Documents and Files,Allows usage of the Images task.,View,,
Lists,Documents and Files,Allows usage of the Import Redirect task.,View,,
Lists,Documents and Files,Allows usage of the Inactivate Files bulk operation.,Full,,
Lists,Documents and Files,Allows usage of the Make Files Available Online bulk operation.,Full,,
Lists,Documents and Files,Allows usage of the Media Items task.,View,,
Lists,Documents and Files,Allows usage of the Move Files to Folder bulk operation.,Full,,
Lists,Documents and Files,Allows usage of the New File Cabinet task.,View,,
Lists,Documents and Files,Allows usage of the New Media Item task.,View,,
Lists,Documents and Files,Allows usage of the New Redirect task.,View,,
Lists,Documents and Files,Allows usage of the Search File Cabinet task.,View,,
Lists,Documents and Files,Allows usage of the Search Media Items task.,View,,
Lists,Documents and Files,Allows viewing and editing of the File Attachment record.,View,,
Lists,Documents and Files,Allows viewing and editing of the File record.,View,,
Lists,Documents and Files,Allows viewing and editing of the Folder record.,View,,
Lists,Duplicate Case Management,Allows management of duplicate cases,Full,,
Lists,Duplicate Entity Management,Allows usage of the  field in Contact search.,View,,
Lists,Duplicate Entity Management,Allows usage of the  field in Customer search.,View,,
Lists,Duplicate Entity Management,Allows usage of the  field in Partner search.,View,,
Lists,Duplicate Entity Management,Allows usage of the  field in Vendor search.,View,,
Lists,Duplicate Entity Management,Allows usage of the Contacts bulk operation.,Full,,
Lists,Duplicate Entity Management,Allows usage of the Customers bulk operation.,Full,,
Lists,Duplicate Entity Management,Allows usage of the Duplicate field in Contact search.,View,,
Lists,Duplicate Entity Management,Allows usage of the Entity search.,View,,
Lists,Duplicate Entity Management,Allows usage of the Duplicate field in Customer search.,View,,
Lists,Duplicate Entity Management,Allows usage of the Duplicate field in Partner search.,View,,
Lists,Duplicate Entity Management,Allows usage of the Duplicate field in Vendor search.,View,,
Lists,Duplicate Entity Management,Allows usage of the Duplicate Resolution bulk operation.,Edit,Full,
Lists,Duplicate Entity Management,Allows usage of the Duplicate Resolution Status task.,View,,
Lists,Duplicate Entity Management,Allows usage of the Entity Duplicate Resolution task.,View,,
Lists,Duplicate Entity Management,Allows usage of the Partners bulk operation.,Full,,
Lists,Duplicate Entity Management,Allows usage of the Vendors bulk operation.,Full,,
Lists,Earliest Availability,Allows usage of the Earliest Item Availability task.,Edit,,
Lists,Earliest Availability,Allows viewing and editing of the Earliest Availability record.,View,,
Lists,Email Template,Allows usage of the Email Template search.,View,,
Lists,Email Template,Allows usage of the Email Templates task.,View,,
Lists,Email Template,Allows usage of the Inactivate Email Templates bulk operation.,Edit,,
Lists,Email Template,Allows usage of the New Email Templates task.,View,,
Lists,Email Template,Allows usage of the Search All Email Templates task.,View,,
Lists,Email Template,Allows viewing and editing of the Email Template record.,View,,
Lists,Employee Change Reason,Allows usage of the Employee Change Reason search.,View,,
Lists,Employee Change Reason,Allows usage of the Employee Change Reasons task.,View,,
Lists,Employee Change Reason,Allows usage of the New Employee Change Reason task.,View,,
Lists,Employee Change Reason,Allows usage of the Search Employee Change Reason task.,View,,
Lists,Employee Change Reason,Allows viewing and editing of the Employee Change Reason record.,View,,
Lists,Employee Change Request,Allows usage of the Employee Change Request search.,View,,
Lists,Employee Change Request,Allows viewing and editing of the Employee Change Request record.,View,,
Lists,Employee Change Request Type,Allows usage of the Employee Change Request Type search.,View,,
Lists,Employee Change Request Type,Allows usage of the Employee Change Request Types task.,View,,
Lists,Employee Change Request Type,Allows usage of the New Employee Change Request Type task.,View,,
Lists,Employee Change Request Type,Allows usage of the Search Employee Change Type task.,View,,
Lists,Employee Change Request Type,Allows viewing and editing of the Employee Change Request Type record.,View,,
Lists,Employee Commission Schedules/Plans,Allows usage of the Assign Partners to Commission Plan bulk operation.,Full,,
Lists,Employee Commission Schedules/Plans,Allows usage of the Assign Sales Reps to Commission Plan bulk operation.,Full,,
Lists,Employee Commission Schedules/Plans,Allows usage of the Employee Plan Assignments task.,View,,
Lists,Employee Commission Schedules/Plans,Allows usage of the Employee Plans task.,View,,
Lists,Employee Commission Schedules/Plans,Allows usage of the Employee Schedules task.,View,,
Lists,Employee Commission Schedules/Plans,Allows usage of the New Employee Plan task.,View,,
Lists,Employee Commission Schedules/Plans,Allows usage of the New Employee Schedule task.,View,,
Lists,Employee Commission Schedules/Plans,Allows usage of the Search Commissionable Items task.,View,,
Lists,Employee Effective Dating,Allows usage of the Employee Change search.,View,,
Lists,Employee Effective Dating,Allows usage of the Search Employee Change task.,View,,
Lists,Employee Effective Dating,Allows viewing and editing of the Employee Change record.,View,,
Lists,Employee Record,Allows usage of the Employee search.,View,,
